x_transformed,x_real,y_real,y_normalised,Std_real,Upper_CI_real,Lower_CI_real,Std_normalised,Upper_CI_normalised,Lower_CI_normalised
-0.2208416833667337,0.601392926815591,-0.025012497094478826,1.6073939871394862,0.00042183495807518104,-0.02418571576923151,-0.025839278419726143,0.00042183495807518104,-0.024999631632954784,-0.025025362556002868
-0.2126252505010022,0.612879011391156,-0.024972536949804405,1.604826002982116,0.00040584800049069456,-0.02417708948564505,-0.02576798441396376,0.00040584800049069456,-0.02496015907135937,-0.02498491482824944
-0.2044088176352707,0.6245844702439615,-0.024930241995199155,1.6021079754512373,0.00038732411979254224,-0.024171100670062094,-0.025689383320336216,0.00038732411979254224,-0.02491842907295283,-0.02494205491744548
-0.1961923847695393,0.6365134932328924,-0.024884918145590997,1.599195300117024,0.00037686194140623973,-0.024146282313290923,-0.02562355397789107,0.00037686194140623973,-0.024873424307268157,-0.024896411983913836
-0.1879759519038079,0.6486703502395137,-0.02483611265321664,1.5960588817624073,0.0003819638172833426,-0.024087477327943852,-0.02558474797848943,0.0003819638172833426,-0.024824463213783603,-0.02484776209264968
-0.1797595190380764,0.6610593926964333,-0.024784431776803652,1.5927376807770537,0.00039417153761866385,-0.024011869759340297,-0.025556993794267006,0.00039417153761866385,-0.024772410016506107,-0.024796453537101196
-0.1715430861723449,0.6736850551448572,-0.024730703415211032,1.5892849009511685,0.00040315359792762533,-0.023940536883035143,-0.02552086994738692,0.00040315359792762533,-0.024718407712820495,-0.02474299911760157
-0.1633266533066134,0.6865518568218913,-0.024675714165850595,1.5857510918938236,0.00040332107791856407,-0.023885219378924336,-0.025466208952776855,0.00040332107791856407,-0.024663413355520716,-0.024688014976180474
-0.155110220440882,0.6996644032781602,-0.024620212615197173,1.5821843604931063,0.00039431551954230085,-0.023847368398349063,-0.025393056832045284,0.00039431551954230085,-0.02460818646362322,-0.024632238766771127
-0.1468937875751506,0.7130273880263206,-0.02456491248511409,1.5786305731104302,0.0003808351176443024,-0.02381848937048318,-0.025311335599744997,0.0003808351176443024,-0.024553297469669628,-0.02457652750055855
-0.1386773547094191,0.7266455942210599,-0.024510495644452995,1.575133549116889,0.0003719405420721774,-0.02378150557760122,-0.025239485711304768,0.0003719405420721774,-0.02449915190292172,-0.02452183938598427
-0.1304609218436876,0.7405238963711813,-0.024457481530884336,1.5717266694654126,0.0003752094030797826,-0.02372208461418719,-0.02519287844758148,0.0003752094030797826,-0.024446038093003303,-0.02446892496876537
-0.1222444889779561,0.7546672620843887,-0.024405750516910955,1.5684022464581715,0.00038373995988431203,-0.023653634016108857,-0.025157867017713054,0.00038373995988431203,-0.024394046907253625,-0.024417454126568285
-0.1140280561122246,0.7690807538453951,-0.02435498054692145,1.5651395836308604,0.00038854489711226306,-0.023593446542204594,-0.025116514551638307,0.00038854489711226306,-0.024343130392427453,-0.02436683070141545
-0.1058116232464932,0.7837695308279908,-0.02430482150019737,1.561916180953375,0.00038558325989795835,-0.023549092197755826,-0.025060550802638915,0.00038558325989795835,-0.02429306167209501,-0.02431658132829973
-0.0975951903807617,0.7987388507417227,-0.02425489402784737,1.5587076600869727,0.0003764439986687844,-0.023517077348260307,-0.024992710707434432,0.0003764439986687844,-0.024243412936277985,-0.024266375119416754
-0.0893787575150304,0.8139940717138392,-0.024204788258247224,1.5554876811911411,0.0003678850072084499,-0.023483746893666405,-0.024925829622828043,0.0003678850072084499,-0.024193568205677116,-0.02421600831081733
-0.0811623246492989,0.8295406542071849,-0.024154128026519846,1.552232070543468,0.0003683034991454195,-0.023432266432814746,-0.024875989620224945,0.0003683034991454195,-0.02414289521044636,-0.024165360842593332
-0.0729458917835674,0.8453841629747192,-0.02410311781409351,1.548953968863852,0.00037426787074484516,-0.023369566266863123,-0.0248366693613239,0.00037426787074484516,-0.024091703091822216,-0.024114532536364808
-0.0647294589178359,0.8615302690513681,-0.024052264829268033,1.545685971201411,0.0003773975457752634,-0.023312579231694712,-0.024791950426841354,0.0003773975457752634,-0.024040754655652755,-0.02406377500288331
-0.0565130260521045,0.8779847517839182,-0.02400204962523043,1.5424589596508194,0.00037408992681577303,-0.02326884684169229,-0.02473525240876857,0.00037408992681577303,-0.023990640330036072,-0.02401345892042479
