x_transformed,x_real,student_t_mean_real,student_t_std_real,student_t_upper_real,student_t_lower_real,student_t_std_predictive_real,student_t_upper_predictive_real,student_t_lower_predictive_real,student_t_mean_norm,student_t_std_norm,student_t_upper_norm,student_t_lower_norm,student_t_std_predictive_norm,student_t_upper_predictive_norm,student_t_lower_predictive_norm,sigma_btw_squared,nu
-0.6809619238476956,0.20846736358885526,-0.03144639251774244,2.0738713279725117e-05,-0.03140574538662848,-0.03148703964885641,4.4728785819723206e-05,-0.031358725708463576,-0.03153405932702131,1.902717366186943,0.001254831055340958,1.9051767898620937,1.9002579425117923,0.002706391122594607,1.9080217953153074,1.8974129370585786,5.749951931010796e-06,1.000005709133732
-0.670741482965932,0.21343149920401377,-0.031417086463870085,2.1026021817001373e-05,-0.03137587621837061,-0.03145829670936956,4.486272000065357e-05,-0.0313291571484203,-0.03150501577931987,1.9009441536441727,0.001272215146155854,1.9034376495112246,1.8984506577771207,0.002714495037593393,1.9062644661540684,1.895623841134277,5.749951931010796e-06,1.000005709133732
-0.6605210420841685,0.21851384345319164,-0.031387775122682475,2.120402954742091e-05,-0.03134621598844241,-0.03142933425692254,4.494642278820333e-05,-0.031299681752783685,-0.031475868492581265,1.8991706211834165,0.0012829858060906519,1.9016852271560303,1.8966560152108027,0.0027195596168572726,1.9045008600862663,1.8938403822805667,5.749951931010796e-06,1.000005709133732
-0.650300601202405,0.22371721118317,-0.03135837702821484,2.125641135946521e-05,-0.03131671522750972,-0.03140003882891996,4.4971158271617004e-05,-0.03127023517765942,-0.03144651887877026,1.8973918395681704,0.0012861552565575948,1.8999126575495502,1.8948710215867905,0.0027210562792749303,1.9027250118754557,1.892058667260885,5.749951931010796e-06,1.000005709133732
-0.6400801603206414,0.2290444842693565,-0.03132880765981967,2.1178243226428845e-05,-0.03128729906584004,-0.0313703162537993,4.493426352535228e-05,-0.031240738121638148,-0.031416877198001195,1.895602694733165,0.0012814255609612944,1.898114242681518,1.893091146784812,0.00271882390001555,1.9009314916575022,1.8902738978088278,5.749951931010796e-06,1.000005709133732
-0.629859719438878,0.23449861321190668,-0.03129897973791995,2.0975182065367487e-05,-0.031257869136502664,-0.03134009033933724,4.4838915186290344e-05,-0.031211097079048976,-0.03138686239679093,1.8937979056794179,0.0012691390006720168,1.8962853724121103,1.8913104389467255,0.0027130546868866395,1.8991153951538033,1.8884804162050324,5.749951931010796e-06,1.000005709133732
-0.6196392785571143,0.24008261876985326,-0.031268802440300704,2.0663054364005175e-05,-0.03122830359793666,-0.03130930128266475,4.469375647736335e-05,-0.031181204287271266,-0.03135640059333014,1.891971977054621,0.0012502531841983148,1.8944224282672062,1.889521525842036,0.002704271612765408,1.8972722520200553,1.8866717020891868,5.749951931010796e-06,1.000005709133732
-0.6094188376753509,0.24579959363414708,-0.031238182119202672,2.026770505860237e-05,-0.031198458147238532,-0.03127790609116681,4.451235694445443e-05,-0.03115093950272455,-0.03132542473568079,1.8901192425421147,0.0012263319032858717,1.8925228089056474,1.887715676178582,0.0026932957260626883,1.8953980051649133,1.8848404799193161,5.749951931010796e-06,1.000005709133732
-0.5991983967935873,0.2516527041405391,-0.03120703119740258,1.9824806285226632e-05,-0.031168175291083053,-0.031245887103722107,4.431244742343607e-05,-0.03112018039638582,-0.03129388199841934,1.8882344031333234,0.0011995335610884498,1.8905854457113038,1.885883360555343,0.0026811998611047877,1.8934894582964426,1.8829793479702042,5.749951931010796e-06,1.000005709133732
-0.5889779559118238,0.2576451920232487,-0.0311752898762922,1.937912557913402e-05,-0.03113730748810522,-0.031213272264479182,4.4114856461512725e-05,-0.03108882634644448,-0.03126175340613992,1.886313840611935,0.0011725668933290742,1.888612029492324,1.884015651731546,0.0026692442845011755,1.8915454632754967,1.8810822179483735,5.749951931010796e-06,1.000005709133732
-0.5787575150300602,0.26378037621039246,-0.031142934962411776,1.8982536424052932e-05,-0.031105729874685413,-0.03118014005013814,4.3942083945786195e-05,-0.0310568100604724,-0.031229059864351153,1.884356151618292,0.0011485705932069397,1.8866073086146795,1.8821049946219046,0.002658790390119262,1.889567285025367,1.879145018211217,5.749951931010796e-06,1.000005709133732
-0.5685370741482968,0.2700616546621662,-0.031109871348283885,1.8690099644812078e-05,-0.03107323942611259,-0.03114650327045518,4.38165479829371e-05,-0.031023992492310457,-0.031195750204257314,1.8823555815130073,0.0011308762094057005,1.8845720581544156,1.880139104871599,0.002651194623563235,1.8875518274911975,1.877159335534817,5.749951931010796e-06,1.000005709133732
-0.5583166332665332,0.27649250625279875,-0.031075642750121937,1.8551263506700935e-05,-0.031039282941781092,-0.031112002558462783,4.3757507128526857e-05,-0.03098987961209677,-0.031161405888147104,1.8802845220709354,0.0011224756931655833,1.8824845340030616,1.8780845101388093,0.002647622256432808,1.8854737663382104,1.8750952778036605,5.749951931010796e-06,1.000005709133732
-0.5480961923847697,0.28307649269731994,-0.03104027063874362,1.8554950561441695e-05,-0.031003903603908273,-0.031076637673578964,4.3759070405409325e-05,-0.030954504436752062,-0.031126036840735175,1.8781442724203514,0.001122698784672228,1.8803447216037958,1.875943823236907,0.0026477168451545744,1.8833337020781145,1.8729548427625884,5.749951931010796e-06,1.000005709133732
-0.5378757515030061,0.28981726052420964,-0.031004043648718272,1.8643521080960984e-05,-0.030967503018854575,-0.03104058427858197,4.379669999787954e-05,-0.03091820369408072,-0.031089883603355822,1.8759522968858917,0.0011280578943229284,1.8781632497312408,1.8737413440405426,0.002649993687531175,1.8811461890727113,1.8707584046990722,5.749951931010796e-06,1.000005709133732
-0.5276553106212426,0.29671854309502094,-0.03096691464597078,1.876176353668054e-05,-0.03093014226515243,-0.03100368702678913,4.384716437142019e-05,-0.030880975782978586,-0.03105285350896297,1.873705743540321,0.0011352123548478124,1.8759307188706276,1.8714807682100145,0.0026530471201261976,1.878905620345056,1.868505866735586,5.749951931010796e-06,1.000005709133732
-0.5174348697394792,0.30378416267209496,-0.030928797262449324,1.8863504725245423e-05,-0.03089182547256564,-0.030965769052333007,4.389079474021154e-05,-0.03084277288550567,-0.031014821639392978,1.8713993865380367,0.0011413683781891124,1.8736364274523802,1.8691623456236932,0.0026556870496616957,1.8766044375095832,1.8661943355664903,5.749951931010796e-06,1.000005709133732
